epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5237,1.22454,5.26885,1.81494,0.30241,0.5,0.66167,0.26016,1.23444,2.42622,1.97975,0,0,0
2,3.58712,1.30022,3.52406,2.64306,0.32874,0.76248,0.695,0.37926,1.19504,2.43651,1.84524,1.9604e-05,1.9604e-05,1.9604e-05
3,5.66427,2.26256,11.8614,2.86384,0.35979,1,0.4475,0.27445,1.09036,2.54443,1.72676,3.8416e-05,3.8416e-05,3.8416e-05
4,7.4541,1.92304,3.52523,2.35247,0.48029,0.94088,0.4975,0.22262,0.95045,2.96834,1.53496,5.6436e-05,5.6436e-05,5.6436e-05
5,9.54602,0.91078,1.87986,1.40683,0.35231,1,0.398,0.15228,0.86875,3.72843,1.42833,7.3664e-05,7.3664e-05,7.3664e-05
6,11.3966,1.19609,2.83524,1.75682,0.28035,1,0.41417,0.15458,0.80177,5.04907,1.38408,9.01e-05,9.01e-05,9.01e-05
7,13.5179,0.6538,1.30457,1.33569,0.63342,1,0.82833,0.50565,0.97078,6.05155,1.53936,0.000105744,0.000105744,0.000105744
8,15.6644,0.72484,1.87098,1.23785,0.79924,0.5,0.745,0.57067,1.02862,6.92939,1.53396,0.000120596,0.000120596,0.000120596
9,17.5847,0.94999,1.55584,1.44835,0.79924,0.5,0.745,0.57067,1.02862,6.92939,1.53396,0.000134656,0.000134656,0.000134656
10,19.5651,1.14965,2.86957,1.39708,0.64136,1,0.82833,0.61271,0.84258,7.80951,1.26916,0.000147924,0.000147924,0.000147924
11,21.3583,0.32977,1.0759,0.96234,0.64136,1,0.82833,0.61271,0.84258,7.80951,1.26916,0.0001604,0.0001604,0.0001604
12,23.3929,1.09345,1.28315,1.36326,0.65028,1,0.82833,0.76175,0.72426,8.79351,1.2208,0.000172084,0.000172084,0.000172084
13,25.4088,0.62505,2.10875,1.62572,0.65028,1,0.82833,0.76175,0.72426,8.79351,1.2208,0.000182976,0.000182976,0.000182976
14,27.509,0.31481,2.0236,1.19518,0.64232,1,0.82833,0.59896,0.81513,8.10969,1.24802,0.000193076,0.000193076,0.000193076
15,29.502,0.39438,2.31862,1.08583,0.64232,1,0.82833,0.59896,0.81513,8.10969,1.24802,0.000202384,0.000202384,0.000202384
16,31.7117,0.77377,0.99054,1.25242,0.74078,1,0.995,0.52196,0.90782,7.10658,1.32236,0.0002109,0.0002109,0.0002109
17,33.5664,0.63932,1.17222,1.31228,0.74078,1,0.995,0.52196,0.90782,7.10658,1.32236,0.000218624,0.000218624,0.000218624
18,35.7472,0.61694,3.29992,1.52227,0.98475,1,0.995,0.4488,1.28391,5.65383,1.7363,0.000225556,0.000225556,0.000225556
19,37.7026,1.07565,1.74831,1.31508,0.98475,1,0.995,0.4488,1.28391,5.65383,1.7363,0.000231696,0.000231696,0.000231696
20,39.4986,0.83945,0.98156,0.94844,0.92363,1,0.995,0.38479,1.40162,4.25671,2.01614,0.000237044,0.000237044,0.000237044
21,41.2839,0.53547,1.0382,1.01828,0.92363,1,0.995,0.38479,1.40162,4.25671,2.01614,0.0002416,0.0002416,0.0002416
22,43.0427,0.65314,1.24164,1.14451,0.91142,1,0.995,0.52012,1.21686,3.16834,1.97128,0.000245364,0.000245364,0.000245364
